id	score
6	100
32	100
8	99
40	99
83	99
15	95
34	94
54	91
75	90
12	88
46	88
25	87
70	87
78	87
99	87
53	86
49	85
67	85
36	81
51	80
68	79
73	77
2	75
37	75
48	74
93	73
41	72
19	69
91	69
47	64
64	64
16	63
52	63
17	62
30	62
76	62
86	61
80	60
7	59
50	58
4	55
13	55
58	54
23	52
3	51
95	51
72	48
97	48
28	47
74	47
87	46
29	45
45	45
22	44
69	44
94	44
89	43
38	42
11	40
62	40
84	40
59	39
77	39
26	38
31	38
42	38
57	37
18	31
20	31
71	30
92	29
21	28
43	28
96	28
90	27
33	25
27	22
60	22
79	22
9	21
82	20
88	20
5	19
10	16
98	16
44	13
1	11
14	11
100	10
55	9
63	9
65	9
61	7
66	7
24	5
35	3
39	2
56	1
81	1
85	1
第2筆id: 32
score: 100
